Sample,Value
1,13.38753
2,22.51100
3,22.52199
4,22.53299
5,22.54398
6,22.55498
7,22.56597
8,22.57697
9,22.58796
10,22.59896
11,22.60996
12,22.62095
13,22.63195
14,22.64294
15,22.65394
16,22.66493
17,22.67593
18,22.68692
19,22.69792
20,22.70891
21,22.71991
22,22.73090
23,22.74189
24,22.75289
25,22.76388
26,22.77488
27,22.78587
28,22.79687
29,22.80786
30,22.81885
31,22.82985
32,22.84084
33,22.85183
34,22.86283
35,22.87382
36,22.88481
37,22.89581
38,22.90680
39,22.91779
40,22.92878
41,22.93978
42,22.95077
43,22.96176
44,22.97275
45,22.98374
46,22.99473
47,23.00573
48,23.01672
49,23.02771
50,23.03870
51,23.04969
52,23.06068
53,23.07167
54,23.08266
55,23.09365
56,23.10464
57,23.11563
58,23.12661
59,23.13760
60,23.14859
61,23.15958
62,23.17057
63,23.18155
64,23.19254
65,23.20353
66,23.21451
67,23.22550
68,23.23649
69,23.24747
70,23.25846
71,23.26944
72,23.28043
73,23.29141
74,23.30240
75,23.31338
76,23.32436
77,23.33535
78,23.34633
79,23.35731
80,23.36829
81,23.37928
82,23.39026
83,23.40124
84,23.41222
85,23.42320
86,23.43418
87,23.44516
88,23.45614
89,23.46712
90,23.47810
91,23.48907
92,23.50005
93,23.51103
94,23.52201
95,23.53298
96,23.54396
97,23.55494
98,23.56591
99,23.57689
100,23.58786
101,30.38394
102,23.60981
103,23.62078
104,23.63175
105,23.64273
106,23.65370
107,23.66467
108,23.67564
109,23.68661
110,23.69758
111,23.70855
112,23.71952
113,23.73049
114,23.74146
115,23.75242
116,23.76339
117,23.77436
118,23.78532
119,23.79629
120,23.80725
121,23.81822
122,23.82918
123,23.84015
124,23.85111
125,23.86207
126,23.87303
127,23.88400
128,23.89496
129,23.90592
130,23.91688
131,23.92784
132,23.93879
133,23.94975
134,23.96071
135,23.97167
136,23.98262
137,23.99358
138,24.00453
139,24.01549
140,24.02644
141,24.03740
142,24.04835
143,24.05930
144,24.07025
145,24.08120
146,24.09215
147,24.10310
148,24.11405
149,24.12500
150,24.13595
151,24.14690
152,24.15784
153,24.16879
154,24.17973
155,24.19068
156,24.20162
157,24.21256
158,24.22351
159,24.23445
160,24.24539
161,24.25633
162,24.26727
163,24.27821
164,24.28915
165,24.30008
166,24.31102
167,24.32196
168,24.33289
169,24.34383
170,24.35476
171,24.36570
172,24.37663
173,24.38756
174,24.39849
175,24.40942
176,24.42035
177,24.43128
178,24.44221
179,24.45313
180,24.46406
181,24.47499
182,24.48591
183,24.49684
184,24.50776
185,24.51868
186,24.52960
187,24.54052
188,24.55144
189,24.56236
190,24.57328
191,24.58420
192,24.59512
193,24.60603
194,24.61695
195,24.62786
196,24.63878
197,24.64969
198,24.66060
199,24.67151
200,24.68242
201,21.91784
202,24.70424
203,24.71515
204,24.72605
205,24.73696
206,24.74787
207,24.75877
208,24.76967
209,24.78057
210,24.79148
211,24.80238
212,24.81328
213,24.82417
214,24.83507
215,24.84597
216,24.85686
217,24.86776
218,24.87865
219,24.88955
220,24.90044
221,24.91133
222,24.92222
223,24.93311
224,24.94400
225,24.95489
226,24.96577
227,24.97666
228,24.98754
229,24.99842
230,25.00931
231,25.02019
232,25.03107
233,25.04195
234,25.05283
235,25.06370
236,25.07458
237,25.08546
238,25.09633
239,25.10720
240,25.11808
241,25.12895
242,25.13982
243,25.15069
244,25.16156
245,25.17242
246,25.18329
247,25.19415
248,25.20502
249,25.21588
250,25.22674
251,25.23760
252,25.24846
253,25.25932
254,25.27018
255,25.28104
256,25.29189
257,25.30274
258,25.31360
259,25.32445
260,25.33530
261,25.34615
262,25.35700
263,25.36785
264,25.37869
265,25.38954
266,25.40038
267,25.41123
268,25.42207
269,25.43291
270,25.44375
271,25.45459
272,25.46542
273,25.47626
274,25.48709
275,25.49793
276,25.50876
277,25.51959
278,25.53042
279,25.54125
280,25.55208
281,25.56290
282,25.57373
283,25.58455
284,25.59538
285,25.60620
286,25.61702
287,25.62784
288,25.63865
289,25.64947
290,25.66029
291,25.67110
292,25.68191
293,25.69273
294,25.70354
295,25.71434
296,25.72515
297,25.73596
298,25.74676
299,25.75757
300,25.76837
301,18.13610
302,25.78997
303,25.80077
304,25.81157
305,25.82237
306,25.83316
307,25.84395
308,25.85475
309,25.86554
310,25.87633
311,25.88712
312,25.89790
313,25.90869
314,25.91947
315,25.93026
316,25.94104
317,25.95182
318,25.96260
319,25.97337
320,25.98415
321,25.99492
322,26.00570
323,26.01647
324,26.02724
325,26.03801
326,26.04878
327,26.05954
328,26.07031
329,26.08107
330,26.09183
331,26.10260
332,26.11336
333,26.12411
334,26.13487
335,26.14562
336,26.15638
337,26.16713
338,26.17788
339,26.18863
340,26.19938
341,26.21012
342,26.22087
343,26.23161
344,26.24235
345,26.25310
346,26.26383
347,26.27457
348,26.28531
349,26.29604
350,26.30678
351,26.31751
352,26.32824
353,26.33897
354,26.34969
355,26.36042
356,26.37114
357,26.38186
358,26.39258
359,26.40330
360,26.41402
361,26.42474
362,26.43545
363,26.44617
364,26.45688
365,26.46759
366,26.47830
367,26.48900
368,26.49971
369,26.51041
370,26.52111
371,26.53181
372,26.54251
373,26.55321
374,26.56391
375,26.57460
376,26.58529
377,26.59598
378,26.60667
379,26.61736
380,26.62805
381,26.63873
382,26.64942
383,26.66010
384,26.67078
385,26.68145
386,26.69213
387,26.70280
388,26.71348
389,26.72415
390,26.73482
391,26.74549
392,26.75615
393,26.76682
394,26.77748
395,26.78814
396,26.79880
397,26.80946
398,26.82011
399,26.83077
400,26.84142
401,29.67854
402,26.86272
403,26.87337
404,26.88402
405,26.89466
406,26.90530
407,26.91594
408,26.92658
409,26.93722
410,26.94785
411,26.95849
412,26.96912
413,26.97975
414,26.99038
415,27.00100
416,27.01163
417,27.02225
418,27.03287
419,27.04349
420,27.05411
421,27.06473
422,27.07534
423,27.08595
424,27.09656
425,27.10717
426,27.11778
427,27.12838
428,27.13899
429,27.14959
430,27.16019
431,27.17078
432,27.18138
433,27.19197
434,27.20257
435,27.21316
436,27.22375
437,27.23433
438,27.24492
439,27.25550
440,27.26608
441,27.27666
442,27.28724
443,27.29781
444,27.30838
445,27.31896
446,27.32953
447,27.34009
448,27.35066
449,27.36122
450,27.37178
451,27.38234
452,27.39290
453,27.40346
454,27.41401
455,27.42456
456,27.43512
457,27.44566
458,27.45621
459,27.46675
460,27.47730
461,27.48784
462,27.49838
463,27.50891
464,27.51945
465,27.52998
466,27.54051
467,27.55104
468,27.56157
469,27.57209
470,27.58261
471,27.59313
472,27.60365
473,27.61417
474,27.62468
475,27.63520
476,27.64571
477,27.65621
478,27.66672
479,27.67723
480,27.68773
481,27.69823
482,27.70873
483,27.71922
484,27.72972
485,27.74021
486,27.75070
487,27.76119
488,27.77167
489,27.78216
490,27.79264
491,27.80312
492,27.81359
493,27.82407
494,27.83454
495,27.84501
496,27.85548
497,27.86595
498,27.87642
499,27.88688
500,27.89734
501,32.28536
502,27.91825
503,27.92871
504,27.93916
505,27.94961
506,27.96006
507,27.97050
508,27.98095
509,27.99139
510,28.00183
511,28.01226
512,28.02270
513,28.03313
514,28.04356
515,28.05399
516,28.06442
517,28.07484
518,28.08526
519,28.09568
520,28.10610
521,28.11651
522,28.12693
523,28.13734
524,28.14774
525,28.15815
526,28.16855
527,28.17896
528,28.18936
529,28.19975
530,28.21015
531,28.22054
532,28.23093
533,28.24132
534,28.25170
535,28.26209
536,28.27247
537,28.28285
538,28.29323
539,28.30360
540,28.31397
541,28.32434
542,28.33471
543,28.34507
544,28.35544
545,28.36580
546,28.37616
547,28.38651
548,28.39687
549,28.40722
550,28.41757
551,28.42791
552,28.43826
553,28.44860
554,28.45894
555,28.46928
556,28.47961
557,28.48994
558,28.50027
559,28.51060
560,28.52093
561,28.53125
562,28.54157
563,28.55189
564,28.56221
565,28.57252
566,28.58283
567,28.59314
568,28.60345
569,28.61375
570,28.62405
571,28.63435
572,28.64465
573,28.65494
574,28.66523
575,28.67552
576,28.68581
577,28.69609
578,28.70638
579,28.71666
580,28.72693
581,28.73721
582,28.74748
583,28.75775
584,28.76802
585,28.77828
586,28.78854
587,28.79880
588,28.80906
589,28.81932
590,28.82957
591,28.83982
592,28.85007
593,28.86031
594,28.87055
595,28.88079
596,28.89103
597,28.90127
598,28.91150
599,28.92173
600,28.93195
601,22.61608
602,28.95240
603,28.96262
604,28.97284
605,28.98305
606,28.99326
607,29.00347
608,29.01368
609,29.02389
610,29.03409
611,29.04429
612,29.05448
613,29.06468
614,29.07487
615,29.08506
616,29.09524
617,29.10543
618,29.11561
619,29.12579
620,29.13596
621,29.14613
622,29.15630
623,29.16647
624,29.17664
625,29.18680
626,29.19696
627,29.20712
628,29.21727
629,29.22742
630,29.23757
631,29.24772
632,29.25786
633,29.26801
634,29.27814
635,29.28828
636,29.29841
637,29.30854
638,29.31867
639,29.32880
640,29.33892
641,29.34904
642,29.35916
643,29.36927
644,29.37938
645,29.38949
646,29.39960
647,29.40970
648,29.41980
649,29.42990
650,29.44000
651,29.45009
652,29.46018
653,29.47027
654,29.48035
655,29.49043
656,29.50051
657,29.51059
658,29.52066
659,29.53073
660,29.54080
661,29.55086
662,29.56092
663,29.57098
664,29.58104
665,29.59109
666,29.60115
667,29.61119
668,29.62124
669,29.63128
670,29.64132
671,29.65136
672,29.66139
673,29.67142
674,29.68145
675,29.69148
676,29.70150
677,29.71152
678,29.72154
679,29.73155
680,29.74156
681,29.75157
682,29.76158
683,29.77158
684,29.78158
685,29.79158
686,29.80157
687,29.81156
688,29.82155
689,29.83154
690,29.84152
691,29.85150
692,29.86148
693,29.87145
694,29.88142
695,29.89139
696,29.90136
697,29.91132
698,29.92128
699,29.93123
700,29.94119
701,27.18992
702,29.96109
703,29.97103
704,29.98097
705,29.99091
706,30.00085
707,30.01078
708,30.02071
709,30.03064
710,30.04056
711,30.05048
712,30.06040
713,30.07031
714,30.08023
715,30.09013
716,30.10004
717,30.10994
718,30.11984
719,30.12974
720,30.13963
721,30.14953
722,30.15941
723,30.16930
724,30.17918
725,30.18906
726,30.19894
727,30.20881
728,30.21868
729,30.22854
730,30.23841
731,30.24827
732,30.25813
733,30.26798
734,30.27783
735,30.28768
736,30.29753
737,30.30737
738,30.31721
739,30.32704
740,30.33688
741,30.34671
742,30.35653
743,30.36636
744,30.37618
745,30.38599
746,30.39581
747,30.40562
748,30.41543
749,30.42523
750,30.43504
751,30.44483
752,30.45463
753,30.46442
754,30.47421
755,30.48400
756,30.49378
757,30.50356
758,30.51334
759,30.52311
760,30.53288
761,30.54265
762,30.55241
763,30.56217
764,30.57193
765,30.58168
766,30.59144
767,30.60118
768,30.61093
769,30.62067
770,30.63041
771,30.64014
772,30.64988
773,30.65960
774,30.66933
775,30.67905
776,30.68877
777,30.69849
778,30.70820
779,30.71791
780,30.72762
781,30.73732
782,30.74702
783,30.75671
784,30.76641
785,30.77610
786,30.78578
787,30.79547
788,30.80515
789,30.81482
790,30.82450
791,30.83417
792,30.84384
793,30.85350
794,30.86316
795,30.87282
796,30.88247
797,30.89212
798,30.90177
799,30.91141
800,30.92105
801,23.13014
802,30.94032
803,30.94995
804,30.95958
805,30.96920
806,30.97883
807,30.98844
808,30.99806
809,31.00767
810,31.01727
811,31.02688
812,31.03648
813,31.04607
814,31.05567
815,31.06526
816,31.07485
817,31.08443
818,31.09401
819,31.10359
820,31.11316
821,31.12273
822,31.13229
823,31.14186
824,31.15142
825,31.16097
826,31.17053
827,31.18008
828,31.18962
829,31.19916
830,31.20870
831,31.21824
832,31.22777
833,31.23730
834,31.24683
835,31.25635
836,31.26587
837,31.27538
838,31.28489
839,31.29440
840,31.30390
841,31.31341
842,31.32290
843,31.33240
844,31.34189
845,31.35138
846,31.36086
847,31.37034
848,31.37982
849,31.38929
850,31.39876
851,31.40822
852,31.41769
853,31.42715
854,31.43660
855,31.44605
856,31.45550
857,31.46495
858,31.47439
859,31.48383
860,31.49326
861,31.50269
862,31.51212
863,31.52154
864,31.53096
865,31.54038
866,31.54979
867,31.55920
868,31.56861
869,31.57801
870,31.58741
871,31.59680
872,31.60619
873,31.61558
874,31.62497
875,31.63435
876,31.64372
877,31.65310
878,31.66247
879,31.67183
880,31.68120
881,31.69056
882,31.69991
883,31.70926
884,31.71861
885,31.72796
886,31.73730
887,31.74663
888,31.75597
889,31.76530
890,31.77462
891,31.78395
892,31.79326
893,31.80258
894,31.81189
895,31.82120
896,31.83050
897,31.83980
898,31.84910
899,31.85839
900,31.86768
901,28.09771
902,31.88625
903,31.89553
904,31.90480
905,31.91407
906,31.92334
907,31.93261
908,31.94187
909,31.95112
910,31.96037
911,31.96962
912,31.97887
913,31.98811
914,31.99735
915,32.00658
916,32.01581
917,32.02503
918,32.03426
919,32.04348
920,32.05269
921,32.06190
922,32.07111
923,32.08031
